Time,wht_CumulativeDeaths,wht_population,wht_deaths,wht_death_pctof_racepop,blk_CumulativeDeaths,blk_population,blk_deaths,blk_death_pctof_racepop,ltn_CumulativeDeaths,ltn_population,ltn_deaths,ltn_death_pctof_racepop,asn_CumulativeDeaths,asn_population,asn_deaths,asn_death_pctof_racepop,tier_status,tier_decrease,tier_increase
18-Aug-2020,17,354423,0.285714285714286,8.0613923395007e-05,9,43782,0,0,23,133314,0.285714285714286,0.000214316790220296,31,298108,0,0,5,0,0
19-Aug-2020,17,354423,0.142857142857143,4.03069616975035e-05,9,43782,0,0,23,133314,0.142857142857143,0.000107158395110148,31,298108,0,0,5,0,0
20-Aug-2020,17,354423,0.142857142857143,4.03069616975035e-05,9,43782,0,0,24,133314,0.142857142857143,0.000107158395110148,31,298108,0,0,5,0,0
21-Aug-2020,18,354423,0.142857142857143,4.03069616975035e-05,9,43782,0,0,24,133314,0.142857142857143,0.000107158395110148,31,298108,0,0,5,0,0
22-Aug-2020,18,354423,0.142857142857143,4.03069616975035e-05,9,43782,0,0,24,133314,0.142857142857143,0.000107158395110148,31,298108,0,0,5,0,0
23-Aug-2020,18,354423,0.142857142857143,4.03069616975035e-05,9,43782,0,0,24,133314,0.285714285714286,0.000214316790220296,31,298108,0,0,5,0,0
24-Aug-2020,18,354423,0.142857142857143,4.03069616975035e-05,9,43782,0,0,24,133314,0.285714285714286,0.000214316790220296,31,298108,0,0,5,0,0
25-Aug-2020,18,354423,0,0,9,43782,0,0,24,133314,0.285714285714286,0.000214316790220296,31,298108,0,0,5,0,0
26-Aug-2020,18,354423,0,0,9,43782,0,0,25,133314,0.285714285714286,0.000214316790220296,31,298108,0.142857142857143,4.79212711021317e-05,5,0,0
27-Aug-2020,18,354423,0,0,9,43782,0,0,26,133314,0.285714285714286,0.000214316790220296,31,298108,0.142857142857143,4.79212711021317e-05,5,0,0
28-Aug-2020,18,354423,0,0,9,43782,0,0,26,133314,0.428571428571429,0.000321475185330444,31,298108,0.285714285714286,9.58425422042634e-05,5,0,0
